"","external_gene_name","ensembl_gene_id","entrezgene_id","go_id","name_1006"
"2799","DDX11L1","ENSG00000223972",NA,"",""
"2800","WASH7P","ENSG00000227232",NA,"",""
"2798","MIR1302-2HG","ENSG00000243485",NA,"",""
"3244","FAM138A","ENSG00000237613",NA,"",""
"3245","OR4G4P","ENSG00000268020",NA,"",""
"3263","OR4G11P","ENSG00000240361",NA,"",""
"3264","OR4F5","ENSG00000186092",79501,"GO:0007186","G protein-coupled receptor signaling pathway"
"3500","AL627309.1","ENSG00000238009",NA,"",""
"3499","CICP27","ENSG00000233750",NA,"",""
"3755","AL627309.6","ENSG00000268903",NA,"",""
"3756","AL627309.2","ENSG00000239906",NA,"",""
"3769","AL627309.5","ENSG00000241860",NA,"",""
"196","RNU6-1100P","ENSG00000222623",NA,"",""
"3809","AL627309.4","ENSG00000241599",NA,"",""
"3855","AP006222.1","ENSG00000228463",NA,"",""
"3854","AL732372.2","ENSG00000237094",NA,"",""
"3853","AL732372.3","ENSG00000250575",NA,"",""
"3856","CICP7","ENSG00000233653",NA,"",""
"3851","WBP1LP7","ENSG00000269732",NA,"",""
"3852","AL732372.1","ENSG00000236601",NA,"",""
"3850","RPL23AP24","ENSG00000236679",NA,"",""
"4290","AC114498.1","ENSG00000235146",NA,"",""
"4293","AL669831.3","ENSG00000230021",NA,"",""
"4291","MTND1P23","ENSG00000225972",NA,"",""
"4315","MTND2P28","ENSG00000225630",NA,"",""
"4314","MTCO1P12","ENSG00000237973",NA,"",""
"4289","MTCO2P12","ENSG00000229344",NA,"",""
"4316","MTATP8P1","ENSG00000240409",NA,"",""
"4317","MTATP6P1","ENSG00000248527",NA,"",""
"4309","MTCO3P12","ENSG00000198744",NA,"",""
"4313","WBP1LP6","ENSG00000268663",NA,"",""
"4292","CICP3","ENSG00000229376",NA,"",""
"10","RNU6-1199P","ENSG00000223181",NA,"",""
"4310","AL669831.2","ENSG00000229905",NA,"",""
"4263","AL669831.1","ENSG00000228327",NA,"",""
"4312","LINC01409","ENSG00000237491",NA,"",""
"4288","AL669831.4","ENSG00000230092",NA,"",""
"4311","FAM87B","ENSG00000177757",NA,"",""
"4308","LINC00115","ENSG00000225880",NA,"",""
"4235","LINC01128","ENSG00000228794",NA,"",""
"5710","FAM41C","ENSG00000230368",NA,"",""
"5711","TUBB8P11","ENSG00000234711",NA,"",""
"5972","AL645608.6","ENSG00000272438",NA,"",""
"5973","AL645608.2","ENSG00000230699",NA,"",""
"5974","LINC02593","ENSG00000223764",NA,"",""
"26611","SAMD11","ENSG00000187634",148398,"GO:0003677","DNA binding"
"27470","NOC2L","ENSG00000188976",26155,"",""
"28427","KLHL17","ENSG00000187961",339451,"GO:0005515","protein binding"
"29020","PLEKHN1","ENSG00000187583",84069,"GO:0043065","positive regulation of apoptotic process"
"29128","PERM1","ENSG00000187642",84808,"GO:0005634","nucleus"
"29206","AL645608.7","ENSG00000272512",NA,"",""
"29742","HES4","ENSG00000188290",57801,"GO:0003677","DNA binding"
"29797","AL645608.3","ENSG00000231702",NA,"",""
"29798","AL645608.1","ENSG00000224969",NA,"",""
"29768","ISG15","ENSG00000187608",9636,"GO:0005515","protein binding"
"31430","AGRN","ENSG00000188157",375790,"GO:0005515","protein binding"
"32322","AL390719.1","ENSG00000217801",NA,"",""
"32321","AL645608.8","ENSG00000273443",NA,"",""
"32570","RNF223","ENSG00000237330",401934,"GO:0016020","membrane"
"33191","C1orf159","ENSG00000131591",54991,"GO:0016020","membrane"
"37686","LINC01342","ENSG00000223823",NA,"",""
"124","MIR200B","ENSG00000207730",NA,"GO:1903231","mRNA binding involved in posttranscriptional gene silencing"
"334","MIR200A","ENSG00000207607",NA,"GO:1903231","mRNA binding involved in posttranscriptional gene silencing"
"103","MIR429","ENSG00000198976",NA,"GO:1903231","mRNA binding involved in posttranscriptional gene silencing"
"37687","AL390719.2","ENSG00000272141",NA,"",""
